Wn(um),Wp(um),Vm(V)
0.2,0.2,0.694305761
0.24,0.2,0.690191175
0.28,0.2,0.685235734
0.32,0.2,0.680633584
0.36,0.2,0.675774119
0.4,0.2,0.67142575
0.44,0.2,0.667109529
0.48,0.2,0.663113104
0.52,0.2,0.659435429
0.56,0.2,0.655716989
0.6,0.2,0.652408431
0.64,0.2,0.64927017
0.68,0.2,0.646084133
0.72,0.2,0.643257195
0.76,0.2,0.640646414
0.8,0.2,0.637900932
0.84,0.2,0.635347975
0.88,0.2,0.633032326
0.92,0.2,0.630862221
0.96,0.2,0.628595456
1,0.2,0.626396676
1.04,0.2,0.624387825
1.08,0.2,0.622523998
1.12,0.2,0.620750703
1.16,0.2,0.618880322
1.2,0.2,0.617031068
1.24,0.2,0.61532621
1.28,0.2,0.613733802
1.32,0.2,0.612231756
1.36,0.2,0.610786137
1.4,0.2,0.60927452
1.44,0.2,0.607721576
1.48,0.2,0.606277484
1.52,0.2,0.604921964
1.56,0.2,0.603637989
1.6,0.2,0.602416464
1.64,0.2,0.601230826
1.68,0.2,0.600081409
1.72,0.2,0.598773286
1.76,0.2,0.597533144
1.8,0.2,0.59636463
1.84,0.2,0.595256394
1.88,0.2,0.594198679
1.92,0.2,0.59318307
1.96,0.2,0.592207092
2,0.2,0.591251704
2.04,0.2,0.590320481
2.08,0.2,0.589294647
2.12,0.2,0.58826022
2.16,0.2,0.587278647
2.2,0.2,0.586342952
2.24,0.2,0.58544701
2.28,0.2,0.584585433
2.32,0.2,0.583753485
2.36,0.2,0.582946974
2.4,0.2,0.582162184
2.44,0.2,0.581398173
2.48,0.2,0.580645581
2.52,0.2,0.579887108
2.56,0.2,0.579024879
2.6,0.2,0.578201345
2.64,0.2,0.577412272
2.68,0.2,0.576653866
2.72,0.2,0.575922723
2.76,0.2,0.575215794
2.8,0.2,0.574530342
2.84,0.2,0.573863906
2.88,0.2,0.57321427
2.92,0.2,0.57257944
2.96,0.2,0.571957603
3,0.2,0.571349518
3.04,0.2,0.570747461
3.08,0.2,0.570154375
3.12,0.2,0.569483364
3.16,0.2,0.568805945
3.2,0.2,0.568152938
3.24,0.2,0.567522127
3.28,0.2,0.566911492
3.32,0.2,0.566319181
3.36,0.2,0.565743514
3.4,0.2,0.565182949
3.44,0.2,0.564636082
3.48,0.2,0.564101627
3.52,0.2,0.56357841
3.56,0.2,0.563065348
3.6,0.2,0.562561454
3.64,0.2,0.562065815
3.68,0.2,0.561580878
3.72,0.2,0.561097865
3.76,0.2,0.56062115
3.8,0.2,0.560149984
3.84,0.2,0.559619801
3.88,0.2,0.559074876
3.92,0.2,0.558546245
3.96,0.2,0.558032702
4,0.2,0.55753312
0.2,0.24,0.707754405
0.24,0.24,0.702738358
0.28,0.24,0.697325997
0.32,0.24,0.692076213
0.36,0.24,0.686862199
0.4,0.24,0.68205874
0.44,0.24,0.677432511
0.48,0.24,0.673110136
0.52,0.24,0.669116562
0.56,0.24,0.665173343
0.6,0.24,0.661664987
0.64,0.24,0.658201583
0.68,0.24,0.654918964
0.72,0.24,0.651947463
0.76,0.24,0.649057258
0.8,0.24,0.646163608
0.84,0.24,0.64356803
0.88,0.24,0.641156782
0.92,0.24,0.63869859
0.96,0.24,0.636293054
1,0.24,0.634110521
1.04,0.24,0.632063736
1.08,0.24,0.630127346
1.12,0.24,0.628009627
1.16,0.24,0.626056302
1.2,0.24,0.624259955
1.24,0.24,0.622553779
1.28,0.24,0.620932734
1.32,0.24,0.619262954
1.36,0.24,0.617553022
1.4,0.24,0.615966541
1.44,0.24,0.614478991
1.48,0.24,0.613076553
1.52,0.24,0.611724264
1.56,0.24,0.610420757
1.6,0.24,0.609009771
1.64,0.24,0.607617481
1.68,0.24,0.606310455
1.72,0.24,0.605074269
1.76,0.24,0.603896639
1.8,0.24,0.602772839
1.84,0.24,0.601678583
1.88,0.24,0.600616871
1.92,0.24,0.599504216
1.96,0.24,0.598338076
2,0.24,0.597235422
2.04,0.24,0.596187239
2.08,0.24,0.595185695
2.12,0.24,0.594223978
2.16,0.24,0.593296116
2.2,0.24,0.592401593
2.24,0.24,0.591523638
2.28,0.24,0.590666554
2.32,0.24,0.589793486
2.36,0.24,0.588831637
2.4,0.24,0.587915071
2.44,0.24,0.58703839
2.48,0.24,0.586196818
2.52,0.24,0.585386121
2.56,0.24,0.584602539
2.6,0.24,0.583842716
2.64,0.24,0.583103653
2.68,0.24,0.58238765
2.72,0.24,0.581679952
2.76,0.24,0.580986453
2.8,0.24,0.580304956
2.84,0.24,0.579565756
2.88,0.24,0.578797798
2.92,0.24,0.578059533
2.96,0.24,0.577348005
3,0.24,0.576660545
3.04,0.24,0.575994752
3.08,0.24,0.575348445
3.12,0.24,0.574719661
3.16,0.24,0.574106609
3.2,0.24,0.573507669
3.24,0.24,0.572921354
3.28,0.24,0.57235146
3.32,0.24,0.571784458
3.36,0.24,0.57122688
3.4,0.24,0.570677563
3.44,0.24,0.570135437
3.48,0.24,0.569525732
3.52,0.24,0.568910507
3.56,0.24,0.568314899
3.6,0.24,0.567737289
3.64,0.24,0.567176194
3.68,0.24,0.566630251
3.72,0.24,0.566098214
3.76,0.24,0.565578929
3.8,0.24,0.565071345
3.84,0.24,0.564574486
3.88,0.24,0.564087455
3.92,0.24,0.563609422
3.96,0.24,0.563139621
4,0.24,0.562677341
0.2,0.28,0.721199001
0.24,0.28,0.715361174
0.28,0.28,0.709554225
0.32,0.28,0.703615541
0.36,0.28,0.698078087
0.4,0.28,0.692816587
0.44,0.28,0.687903694
0.48,0.28,0.683255501
0.52,0.28,0.679017962
0.56,0.28,0.674807446
0.6,0.28,0.671096032
0.64,0.28,0.667389522
0.68,0.28,0.663944993
0.72,0.28,0.660834582
0.76,0.28,0.657643752
0.8,0.28,0.654703089
0.84,0.28,0.652008752
0.88,0.28,0.649406276
0.92,0.28,0.646733859
0.96,0.28,0.644326361
1,0.28,0.642082947
1.04,0.28,0.639960041
1.08,0.28,0.637656372
1.12,0.28,0.635558071
1.16,0.28,0.633622195
1.2,0.28,0.631788001
1.24,0.28,0.630037482
1.28,0.28,0.628109605
1.32,0.28,0.626328558
1.36,0.28,0.624682409
1.4,0.28,0.623109663
1.44,0.28,0.621613224
1.48,0.28,0.620172637
1.52,0.28,0.61858573
1.56,0.28,0.61708077
1.6,0.28,0.615668941
1.64,0.28,0.614333213
1.68,0.28,0.61306507
1.72,0.28,0.611836425
1.76,0.28,0.61064802
1.8,0.28,0.609403514
1.84,0.28,0.608118301
1.88,0.28,0.606906288
1.92,0.28,0.605756272
1.96,0.28,0.604658599
2,0.28,0.603613892
2.04,0.28,0.602592497
2.08,0.28,0.601603044
2.12,0.28,0.600639324
2.16,0.28,0.599642449
2.2,0.28,0.598579149
2.24,0.28,0.597568433
2.28,0.28,0.596603512
2.32,0.28,0.595678433
2.36,0.28,0.594787953
2.4,0.28,0.593927449
2.44,0.28,0.593099786
2.48,0.28,0.59228419
2.52,0.28,0.591488529
2.56,0.28,0.59070956
2.6,0.28,0.589934106
2.64,0.28,0.589057242
2.68,0.28,0.588217795
2.72,0.28,0.587411701
2.76,0.28,0.586635338
2.8,0.28,0.585885468
2.84,0.28,0.585159188
2.88,0.28,0.584453886
2.92,0.28,0.583767211
2.96,0.28,0.583097032
3,0.28,0.582446081
3.04,0.28,0.581801251
3.08,0.28,0.58116821
